Time Base:500μs,
Sampling Rate:5.00MSa/s,
Amplitude:2.00V,
Amplitude resolution:80.00mV,
Data Uint:mv,
Data points:64000,
 -8.00E+01,7.8e-05
  0.00E+00,7.8125e-05
  0.00E+00,7.824999999999999e-05
  0.00E+00,7.8375e-05
  0.00E+00,7.85e-05
  0.00E+00,7.8625e-05
  0.00E+00,7.874999999999999e-05
  0.00E+00,7.887499999999999e-05
  0.00E+00,7.9e-05
  8.00E+01,7.9125e-05
  0.00E+00,7.925e-05
  8.00E+01,7.937499999999999e-05
  0.00E+00,7.95e-05
  8.00E+01,7.9625e-05
  8.00E+01,7.975e-05
  0.00E+00,7.987499999999999e-05
  8.00E+01,7.999999999999999e-05
  8.00E+01,8.0125e-05
  8.00E+01,8.025e-05
  1.60E+02,8.0375e-05
  8.00E+01,8.049999999999999e-05
  0.00E+00,8.0625e-05
  0.00E+00,8.075e-05
  8.00E+01,8.0875e-05
  0.00E+00,8.099999999999999e-05
  0.00E+00,8.1125e-05
  0.00E+00,8.125e-05
 -8.00E+01,8.1375e-05
 -8.00E+01,8.15e-05
  0.00E+00,8.162499999999999e-05
 -8.00E+01,8.175e-05
 -8.00E+01,8.1875e-05
 -8.00E+01,8.2e-05
 -8.00E+01,8.212499999999999e-05
 -8.00E+01,8.225e-05
 -1.60E+02,8.2375e-05
 -8.00E+01,8.25e-05
  0.00E+00,8.2625e-05
 -8.00E+01,8.274999999999999e-05
 -8.00E+01,8.2875e-05
  0.00E+00,8.3e-05
  0.00E+00,8.3125e-05
  0.00E+00,8.324999999999999e-05
  8.00E+01,8.3375e-05
  0.00E+00,8.35e-05
  0.00E+00,8.3625e-05
  8.00E+01,8.375e-05
  8.00E+01,8.387499999999999e-05
  8.00E+01,8.4e-05
  8.00E+01,8.4125e-05
  1.60E+02,8.425e-05
  8.00E+01,8.437499999999999e-05
  1.60E+02,8.45e-05
  1.60E+02,8.4625e-05
  8.00E+01,8.475e-05
  0.00E+00,8.487499999999999e-05
  8.00E+01,8.499999999999999e-05
  8.00E+01,8.5125e-05
  8.00E+01,8.525e-05
  0.00E+00,8.5375e-05
  0.00E+00,8.549999999999999e-05
  0.00E+00,8.5625e-05
  0.00E+00,8.575e-05
  0.00E+00,8.5875e-05
  0.00E+00,8.599999999999999e-05
  0.00E+00,8.612499999999999e-05
  0.00E+00,8.625e-05
 -8.00E+01,8.6375e-05
 -8.00E+01,8.65e-05
 -8.00E+01,8.662499999999999e-05
  8.00E+01,8.675e-05
  0.00E+00,8.6875e-05
  0.00E+00,8.7e-05
  0.00E+00,8.712499999999999e-05
  0.00E+00,8.724999999999999e-05
  8.00E+01,8.7375e-05
  0.00E+00,8.75e-05
  8.00E+01,8.7625e-05
